2023 05 MAY,EAGLE LAKE RBT,85756,8,FLAMING GORGE RESERVOIR,SWEETWATER
2023 05 MAY,EAGLE LAKE RBT,19025,7.5,FONTENELLE RESERVOIR,LINCOLN
2023 05 MAY,EAGLE LAKE RBT,7499,5.2,FREMONT LAKE,SUBLETTE
2023 05 MAY,EAGLE LAKE RBT,1251,8.2,GILLETTE FISHING LK,CAMPBELL
2023 05 MAY,EAGLE LAKE RBT,7245,8.2,GRANITE RES,LARAMIE
2023 05 MAY,EAGLE LAKE RBT,50,7.6,HIGH COUNTRY PARK POND,CAMPBELL
2023 05 MAY,EAGLE LAKE RBT,699,8.3,HORSESHOE CREEK SECTION 2,PLATTE
2023 05 MAY,EAGLE LAKE RBT,2008,8,HUCK FINN POND,ALBANY
2023 05 MAY,EAGLE LAKE RBT,7080,7.5,JIM BRIDGER POND,SWEETWATER
2023 05 MAY,EAGLE LAKE RBT,765,8.2,JOHNSON CREEK RES,ALBANY
2023 05 MAY,EAGLE LAKE RBT,1003,8.2,LABONTE CREEK SECTION 3,ALBANY
2023 05 MAY,EAGLE LAKE RBT,250,8.2,LEITER DITCH POND,JOHNSON
2023 05 MAY,EAGLE LAKE RBT,2152,9,LUCKEY POND,FREMONT
2023 05 MAY,EAGLE LAKE RBT,250,8.1,MALLO EXTENSION RES,WESTON
2023 05 MAY,EAGLE LAKE RBT,742,7.8,MARKHAM RESERVOIR,PARK
2023 05 MAY,EAGLE LAKE RBT,350,8.2,MAVRAKIS FISHING POND,SHERIDAN
2023 05 MAY,EAGLE LAKE RBT,1102,6.9,MEADOWLARK LAKE,BIG HORN
2023 05 MAY,EAGLE LAKE RBT,1301,8.4,MEDICINE LAKE,CROOK
2023 05 MAY,EAGLE LAKE RBT,76,6.9,MIDDLE FORK POND,JOHNSON
2023 05 MAY,EAGLE LAKE RBT,300,8.2,MUDDY GUARD RESERVOIR  1,JOHNSON
2023 05 MAY,EAGLE LAKE RBT,2198,7.1,MUDDY GUARD RESERVOIR  2,JOHNSON
2023 05 MAY,EAGLE LAKE RBT,1377,7.9,NEW CODY RESERVOIR,PARK
2023 05 MAY,EAGLE LAKE RBT,900,7.9,PANTHER POND,CAMPBELL
2023 05 MAY,EAGLE LAKE RBT,551,9,PETE'S POND,FREMONT
2023 05 MAY,EAGLE LAKE RBT,11000,6.3,PILOT BUTTE RESERVOIR,FREMONT
2023 05 MAY,EAGLE LAKE RBT,380,6.9,PINES LODGE POND,JOHNSON
2023 05 MAY,EAGLE LAKE RBT,350,8.2,RANCHESTER CITY POND,SHERIDAN
2023 05 MAY,EAGLE LAKE RBT,11746,7.8,SARATOGA LAKE,CARBON
2023 05 MAY,EAGLE LAKE RBT,551,9,SCOUT POND,FREMONT
2023 05 MAY,EAGLE LAKE RBT,27257,7,SEMINOE RESERVOIR,CARBON
2023 05 MAY,EAGLE LAKE RBT,100,8.2,SHERIDAN FAIRGROUND POND,SHERIDAN
2023 05 MAY,EAGLE LAKE RBT,507,7.9,SHIRLEY BASIN RESERVOIR,CARBON
2023 05 MAY,EAGLE LAKE RBT,3825,8.2,SODERGREEN LAKE,ALBANY
2023 05 MAY,EAGLE LAKE RBT,175,8.2,SOLDIERS SAILORS POND,JOHNSON
2023 05 MAY,EAGLE LAKE RBT,57,6.9,SOUTH FORK INN POND,JOHNSON
2023 05 MAY,EAGLE LAKE RBT,4370,6.9,TIE HACK RESERVOIR,JOHNSON
2023 05 MAY,EAGLE LAKE RBT,9045,8.2,TOLTEC RESERVOIR,ALBANY
